1,1613864751687179,0,,,
3,1613864751687179,0,558810,4,
3,1613864751687179,1,558815,1815,
3,1613864751687179,2,558820,200003,
3,1613864751687179,3,558830,4885,
3,1613864751687179,4,558835,200000,
3,1613864751687179,5,558840,3,
3,1613864751687179,6,558845,250000,
3,1613864751687179,7,558850,206000,
3,1613864751687179,8,558855,25450,
3,1613864751687179,9,558860,200021,
3,1613864751687179,10,558865,200021,
2,1613864751687179,0,559890,1379124,
2,1613864751687179,1,559895,27,
2,1613864751687179,2,559900,49,
2,1613864751687179,3,559905,4909,
2,1613864751687179,4,559910,6056,
2,1613864751687179,5,559915,161691,
2,1613864751687179,6,559920,134980,
2,1613864751687179,7,559925,95101,
2,1613864751687179,8,559930,36,
2,1613864751687179,9,559935,62328,
2,1613864751687179,10,559940,48406,
3,1613864751787140,0,559805,0,
3,1613864751787140,1,559880,189442,
2,1613864751787140,0,559930,61,
2,1613864751787140,1,559890,1735287,
2,1613864751787140,2,560060,90780,
3,1613864751787140,0,558805,225000,
3,1613864751887108,0,559815,84424,
3,1613864751887108,1,559470,67005,
3,1613864751887108,2,559200,9,
2,1613864751887108,0,560230,31537,
3,1613864751887108,0,559600,74297,
3,1613864751887108,1,558900,200008,
3,1613864751887108,2,559400,88645,
3,1613864751887108,3,559295,218252,
3,1613864751987147,0,559700,50125,
3,1613864751987147,1,559720,237319,
3,1613864751987147,2,559685,32121,
3,1613864751987147,3,559080,45023,
3,1613864751987147,4,559715,153132,
2,1613864752087386,1,559890,3264591,
2,1613864752087386,2,560280,91964,
2,1613864752087386,3,560680,180023,
3,1613864752087386,0,558800,50703,
2,1613864752187260,0,560765,0,
3,1613864752187260,0,559615,45256,
2,1613864752187260,0,560410,41833,
3,1613864752287259,3,559485,79350,
2,1613864752287259,0,559890,3306479,
2,1613864752287259,1,560400,16745,
3,1613864752387124,0,559515,49650,
3,1613864752387124,1,559525,23483,
3,1613864752387124,2,559885,1996776,
2,1613864752387124,0,559890,3094396,
3,1613864752387124,0,559595,171171,
10,1613864751822888,0,,1912664713,
10,1613864751922408,0,,1912666735,
10,1613864752022573,0,,1912710138,
10,1613864752122718,0,,1912791207,
10,1613864752222306,0,,1912827257,
10,1613864752322465,0,,1912827249,
10,1613864752422397,0,,1912824674,
4,1613864752418000,0,559890,5145.0,
2,1613864752487134,0,559990,101014,
2,1613864752487134,1,560100,289684,
2,1613864752487134,2,559965,29841,
3,1613864752487134,0,559830,126322,
3,1613864752487134,1,558990,215525,
2,1613864752487134,0,559890,3089249,
10,1613864752522423,0,,1912710795,
3,1613864752587206,0,558800,0,
3,1613864752587206,1,558805,0,
3,1613864752587206,2,559275,0,
3,1613864752587206,3,559245,0,
3,1613864752587206,4,559280,200000,
3,1613864752587206,5,559790,115748,
2,1613864752587206,0,559985,274938,
2,1613864752587206,0,560155,233282,
3,1613864752587206,0,559815,122397,
3,1613864752587206,1,559680,137280,
3,1613864752587206,2,559850,252733,
3,1613864752587206,3,559820,10810,
3,1613864752587206,4,559810,79927,
3,1613864752587206,5,559795,38647,
3,1613864752587206,6,559805,27573,
10,1613864752622346,0,,1912710796,
4,1613864752591000,0,559890,807.0,
2,1613864752687109,0,559890,2889575,
3,1613864752687109,0,559885,2484612,
2,1613864752687109,0,560100,289684,
2,1613864752687109,1,560190,60579,
10,1613864752722509,0,,1912710192,
3,1613864752787145,0,559080,45023,
3,1613864752787145,1,559885,2478112,
2,1613864752787145,0,559945,120493,
2,1613864753787220,1,561045,0,
3,1613864753787220,0,559855,23952,
